CVE_ID,Method,Filename,CWE,Code_Before_Lines,Code_After_Lines,Lines_Added,Lines_Removed,Graph_Code_Lines,Overlap_Count,Overlap_Percentage
CVE-2020-1916,HPHP::PCRECache::dump,preg.cpp,CWE-787,25,25,5,5,65,5,55.56
CVE-2022-47942,build_sec_desc,smbacl.c,CWE-787,82,92,16,6,188,6,33.33
CVE-2011-2918,kernel_unaligned_trap,unaligned_32.c,CWE-400,36,36,1,1,72,1,50.0
CVE-2010-1152,try_read_command,memcached.c,CWE-20,109,127,19,1,170,3,21.43
CVE-2014-2523,dccp_packet,nf_conntrack_proto_dccp.c,CWE-20,91,91,1,1,170,1,50.0
CVE-2022-42703,anon_vma_fork,rmap.c,CWE-416,60,61,2,1,74,0,0.0
CVE-2011-2918,record_and_restart,perf_event.c,CWE-400,56,56,2,2,100,2,50.0
CVE-2019-11811,ipmi_si_mem_setup,ipmi_si_mem_io.c,CWE-416,70,71,3,2,104,1,100.0
CVE-2013-7271,rose_recvmsg,af_rose.c,CWE-20,65,67,5,3,152,3,42.86
CVE-2020-1916,HPHP::string_crypt,zend-string.cpp,CWE-787,44,54,14,4,116,4,26.67
CVE-2008-7316,__iov_iter_advance_iov,filemap.c,CWE-20,22,26,5,1,45,1,16.67
CVE-2022-47942,set_ntacl_dacl,smbacl.c,CWE-787,28,39,14,3,76,3,23.08
CVE-2019-19815,f2fs_mpage_readpages,data.c,CWE-476,47,47,1,1,102,1,50.0
CVE-2016-2546,snd_timer_user_ioctl,timer.c,CWE-362,59,11,6,54,114,48,88.89
CVE-2018-8788,nsc_decode,nsc.c,CWE-787,49,67,22,4,132,4,22.22
CVE-2017-6346,fanout_release,af_packet.c,CWE-362,23,22,11,12,46,12,92.31
CVE-2023-3863,nfc_genl_llc_set_params,netlink.c,CWE-416,65,68,4,1,104,1,25.0
CVE-2019-11487,fuse_dev_splice_write,dev.c,CWE-416,83,83,6,6,154,5,50.0
CVE-2016-5094,traverse_for_entities,html.c,CWE-190,109,109,4,4,174,1,100.0
CVE-2019-11487,gup_huge_pud,gup.c,CWE-416,37,37,2,2,71,2,50.0
CVE-2014-4653,snd_ctl_elem_write,control.c,CWE-416,33,33,2,2,76,2,50.0
CVE-2012-3552,icmp_route_lookup,icmp.c,CWE-362,91,91,2,2,165,2,50.0
CVE-2016-3070,migrate_page_move_mapping,migrate.c,CWE-476,99,120,27,6,108,5,17.86
CVE-2012-3552,cipso_v4_sock_setattr,cipso_ipv4.c,CWE-362,68,71,12,9,109,4,21.05
CVE-2022-42703,__anon_vma_prepare,rmap.c,CWE-416,47,47,2,2,82,2,50.0
CVE-2013-4119,sspi_SecureHandleGetLowerPointer,sspi.c,CWE-476,11,11,1,1,20,1,50.0
CVE-2023-0266,snd_ctl_elem_read,control.c,CWE-416,49,57,15,7,99,7,43.75
CVE-2011-2918,perf_swevent_event,core.c,CWE-400,22,22,3,3,44,3,50.0
CVE-2017-15951,key_reject_and_link,key.c,CWE-20,62,59,2,5,109,5,71.43
CVE-2017-6874,get_ucounts,ucount.c,CWE-362,32,34,4,2,47,2,33.33
CVE-2023-3863,nfc_llcp_send_symm,llcp_commands.c,CWE-416,28,34,9,3,59,4,33.33
CVE-2017-11142,add_post_var,php_variables.c,CWE-400,47,50,5,2,85,2,28.57
CVE-2019-19815,f2fs_force_buffered_io,f2fs.h,CWE-476,23,24,2,1,38,1,33.33
CVE-2011-2918,intel_pmu_handle_irq,perf_event_intel.c,CWE-400,80,80,1,1,95,1,50.0
CVE-2011-2918,handle_stdfmna,unaligned_64.c,CWE-400,47,47,1,1,117,1,50.0
CVE-2017-1000251,l2cap_build_conf_req,l2cap.c,CWE-787,37,70,37,4,80,11,35.48
CVE-2011-2918,alpha_perf_event_irq_handler,perf_event.c,CWE-400,68,68,1,1,85,1,50.0
CVE-2022-42703,anon_vma_clone,rmap.c,CWE-416,48,48,6,6,86,6,50.0
CVE-2018-11219,b_unpack,lua_struct.c,CWE-190,65,67,15,13,150,12,42.86
CVE-2019-19815,f2fs_read_single_page,data.c,CWE-476,111,112,3,2,186,2,40.0
CVE-2021-24025,HPHP::set_sockaddr,ext_sockets.cpp,CWE-190,96,96,1,1,124,1,50.0
CVE-2017-15951,keyctl_chown_key,keyctl.c,CWE-20,109,109,1,1,197,1,50.0
CVE-2018-8788,nsc_process_message,nsc.c,CWE-787,69,81,18,6,106,8,61.54
CVE-2010-1155,irssi_ssl_get_iochannel,network-openssl.c,CWE-20,94,95,2,1,181,1,33.33
CVE-2022-47942,smb2_allocate_rsp_buf,smb2pdu.c,CWE-787,32,33,4,3,79,3,50.0
CVE-2016-5094,unimap_bsearch,html.c,CWE-190,24,24,1,1,50,0,0.0
CVE-2021-24025,HPHP::MemFile::readImpl,mem-file.cpp,CWE-190,11,13,4,2,31,2,50.0
CVE-2011-2918,misaligned_fpu_store,traps_64.c,CWE-400,75,75,1,1,123,1,50.0
CVE-2013-4119,sspi_SecureHandleGetUpperPointer,sspi.c,CWE-476,11,11,1,1,20,1,50.0
CVE-2012-3552,dccp_v4_connect,ipv4.c,CWE-362,95,99,9,5,170,5,38.46
CVE-2011-2918,perf_event_mmap_output,core.c,CWE-400,27,27,1,1,53,1,50.0
CVE-2018-12896,posix_timer_fn,posix-timers.c,CWE-190,65,64,2,3,76,2,50.0
CVE-2022-3424,gru_handle_user_call_os,grufault.c,CWE-416,44,49,6,1,88,2,28.57
CVE-2017-15951,proc_keys_show,proc.c,CWE-20,90,93,5,2,190,2,33.33
CVE-2020-1916,gdImageCreateTrueColor,gd.cpp,CWE-787,63,63,2,2,135,2,50.0
CVE-2011-2918,ptrace_triggered,ptrace_32.c,CWE-400,13,13,1,1,20,1,50.0
CVE-2016-9755,nf_ct_frag6_gather,nf_conntrack_reasm.c,CWE-787,53,53,2,2,114,1,50.0
CVE-2016-5094,process_numeric_entity,html.c,CWE-190,33,33,1,1,65,0,0.0
CVE-2018-11219,b_unpack,lua_struct.c,CWE-190,67,71,6,2,159,4,50.0
CVE-2018-12232,sockfs_setattr,socket.c,CWE-362,12,15,4,1,25,1,25.0
CVE-2018-8788,nsc_rle_encode,nsc_encode.c,CWE-787,53,53,1,1,78,1,50.0
CVE-2012-0879,exit_io_context,blk-ioc.c,CWE-400,17,17,5,5,31,5,50.0
CVE-2013-0178,dsOpen,diskstore.c,CWE-20,30,30,1,1,51,1,50.0
CVE-2013-7271,bt_sock_recvmsg,af_bluetooth.c,CWE-20,45,42,2,5,83,4,80.0
CVE-2010-1152,try_read_network,memcached.c,CWE-20,53,57,5,1,116,2,40.0
CVE-2012-4508,ext4_split_unwritten_extents,extents.c,CWE-362,35,36,2,1,82,0,0.0
CVE-2013-4129,br_multicast_del_pg,br_multicast.c,CWE-20,34,34,1,1,80,1,50.0
CVE-2021-3640,sco_sock_sendmsg,sco.c,CWE-362,25,36,12,1,45,2,20.0
CVE-2018-8788,nsc_encode_sse2,nsc_sse2.c,CWE-787,10,12,3,1,15,1,33.33
CVE-2019-13233,insn_get_code_seg_params,insn-eval.c,CWE-362,47,46,4,5,66,5,55.56
CVE-2011-4914,rose_loopback_timer,rose_loopback.c,CWE-20,36,47,12,1,77,4,40.0
CVE-2017-1000251,l2cap_config_req,l2cap.c,CWE-787,70,78,9,1,117,1,10.0
CVE-2011-2918,handle_popc,unaligned_64.c,CWE-400,35,35,1,1,86,1,50.0
CVE-2022-3424,gru_fault,grumain.c,CWE-416,47,52,6,1,94,5,71.43
CVE-2019-11487,gup_huge_pgd,gup.c,CWE-416,36,36,2,2,71,2,50.0
CVE-2011-2918,watchdog_overflow_callback,watchdog.c,CWE-400,37,37,1,1,53,1,50.0
CVE-2019-18885,read_one_chunk,volumes.c,CWE-476,104,104,1,1,180,1,50.0
CVE-2012-3552,ip_setup_cork,ip_output.c,CWE-362,39,39,2,2,96,2,50.0
CVE-2011-2918,ptrace_hbptriggered,ptrace.c,CWE-400,22,22,1,1,46,1,50.0
CVE-2011-2918,simulate_llsc,traps.c,CWE-400,15,15,2,2,23,1,50.0
CVE-2018-8788,nsc_encode_subsampling,nsc_encode.c,CWE-787,37,43,19,13,116,13,52.0
CVE-2011-2918,__intel_pmu_pebs_event,perf_event_intel_ds.c,CWE-400,41,41,1,1,63,1,50.0
CVE-2012-3552,ip_options_get,ip_options.c,CWE-362,11,11,3,3,24,3,50.0
CVE-2022-1205,ax25_kill_by_device,af_ax25.c,CWE-476,45,45,2,2,66,1,100.0
CVE-2022-1199,ax25_kill_by_device,af_ax25.c,CWE-416,31,34,6,3,47,2,25.0
CVE-2023-3863,llcp_sock_bind,llcp_sock.c,CWE-416,89,89,1,1,129,1,50.0
CVE-2017-7374,validate_user_key,keyinfo.c,CWE-476,56,49,2,9,102,4,57.14
CVE-2017-18216,o2nm_node_ipv4_address_store,nodemanager.c,CWE-476,41,50,10,1,104,3,37.5
CVE-2017-1000251,l2cap_parse_conf_req,l2cap.c,CWE-787,78,131,66,13,142,14,35.9
CVE-2012-3552,ip_options_echo,ip_options.c,CWE-362,119,117,4,6,246,6,60.0
CVE-2019-11487,gup_huge_pmd,gup.c,CWE-416,37,37,2,2,71,2,50.0
CVE-2015-7613,newseg,shm.c,CWE-362,107,108,7,6,190,2,40.0
CVE-2018-12232,sock_release,socket.c,CWE-362,19,4,1,16,37,12,92.31
CVE-2017-7374,fscrypt_setup_filename,fname.c,CWE-476,66,66,1,1,128,1,50.0
CVE-2011-2918,__perf_sw_event,core.c,CWE-400,18,17,2,3,31,3,60.0
CVE-2016-5767,gdImageCopyResized,gd.c,CWE-190,104,104,1,1,198,0,0.0
CVE-2013-1848,ext3_blkdev_get,super.c,CWE-20,16,16,1,1,33,1,50.0
CVE-2019-20636,input_default_setkeycode,input.c,CWE-787,59,61,9,7,94,8,80.0
CVE-2015-2672,xsave_state,xsave.h,CWE-20,32,32,2,2,38,2,50.0
CVE-2021-24025,HPHP::logToUSDT,ext_strobelight.cpp,CWE-190,63,71,12,4,136,4,33.33
CVE-2017-18200,f2fs_trim_fs,segment.c,CWE-20,57,57,1,1,90,0,0.0
CVE-2016-2069,switch_mm,mmu_context.h,CWE-362,65,96,32,1,52,4,16.0
CVE-2020-1916,HPHP::HHVM_METHOD,ext_xmlreader.cpp,CWE-787,36,36,2,2,73,2,66.67
CVE-2021-24025,HPHP::serialize_impl,ext_std_variable.cpp,CWE-190,59,59,1,1,129,1,50.0
CVE-2016-5094,determine_entity_table,html.c,CWE-190,15,15,1,1,37,0,0.0
CVE-2015-8839,ext4_dax_fault,file.c,CWE-362,28,33,8,3,58,2,28.57
CVE-2013-0871,compat_sys_ptrace,ptrace.c,CWE-362,38,41,4,1,69,2,40.0
CVE-2013-0216,netbk_count_requests,netback.c,CWE-20,40,44,8,4,75,4,44.44
CVE-2016-5094,find_entity_for_char,html.c,CWE-190,60,60,3,3,125,2,100.0
